CAS,Name,Formula,Elements,Mw
10025-67-9,Disulfur dichloride,Cl2S2,"['Cl', 'S']",133.881847713568
1002-56-8,2-Chlorodecane,C10H21Cl,"['C', 'H', 'Cl']",176.133178359389
1002-57-9,8-Aminocaprylic acid,C8H17NO2,"['C', 'H', 'N', 'O']",159.1259287916384
10025-85-1,Nitrogen trichloride,Cl3N,"['Cl', 'N']",118.90963205154199
10025-87-3,Phosphoryl chloride,Cl3OP,"['Cl', 'O', 'P']",151.8752346651087
10026-13-8,Phosphorus pentachloride,Cl5P,"['Cl', 'P']",205.818025410277
100264-27-5,"O-nitro carbanilic acid, santalol ester",C22H28N2O4,"['C', 'H', 'N', 'O']",384.2049073898428
1002-67-1,1-ethoxy-2-(2-methoxyethoxy)ethane,C7H16O3,"['C', 'H', 'O']",148.1099443745391
1002-68-2,"3-Undecene, (E)-",C11H22,"['C', 'H']",154.172150709258
1002-69-3,"Decane, 1-chloro-",C10H21Cl,"['C', 'H', 'Cl']",176.133178359389
100-27-6,"Benzeneethanol, 4-nitro-",C8H9NO3,"['C', 'H', 'N', 'O']",167.0582431532981
1002-84-2,Pentadecanoic acid,C15H30O2,"['C', 'H', 'O']",242.22458020631342
100-28-7,"Benzene, 1-isocyanato-4-nitro-",C7H4N2O3,"['C', 'H', 'N', 'O']",164.0221919965351
10029-07-9,"Trans-1,4-cyclohexane-bis(methylamine)",C8H18N2,"['C', 'H', 'N']",142.146998589166
10029-09-1,"Cis-1,4-(cyclohexane bis(methylamine)",C8H18N2,"['C', 'H', 'N']",142.146998589166
100-29-8,1-Ethoxy-4-nitrobenzene,C8H9NO3,"['C', 'H', 'N', 'O']",167.0582431532981
1003-03-8,Cyclopentanamine,C5H11N,"['C', 'H', 'N']",85.089149359061
1003-04-9,Dihydro-3-(2H)-thiophenone,C4H6OS,"['C', 'H', 'O', 'S']",102.0139359874197
10030-74-7,Methyl palmitelaidate,C17H32O2,"['C', 'H', 'O']",268.2402302707914
1003-09-4,"Thiophene, 2-bromo-",C4H3BrS,"['C', 'H', 'Br', 'S']",161.91388388513099
1003-10-7,Dihydro-2-(3H)-thiophenone,C4H6OS,"['C', 'H', 'O', 'S']",102.0139359874197
1003-14-1,"Oxirane, propyl-",C5H10O,"['C', 'H', 'O']",86.0731649419617
1003-17-4,"2,2-Dimethyltetrahydrofuran",C6H12O,"['C', 'H', 'O']",100.0888150064397
10031-82-0,"Benzaldehyde, 4-ethoxy-",C9H10O2,"['C', 'H', 'O']",150.0680795615334
10031-87-5,"Acetic acid, 2-ethylbutyl ester",C8H16O2,"['C', 'H', 'O']",144.1150297549674
10031-92-2,Ethyl octyne carbonate,C11H18O2,"['C', 'H', 'O']",182.13067981944542
1003-19-6,"Cyclopropane, 1,1-diethyl-",C7H14,"['C', 'H']",98.109550451346
10032-02-7,Geranyl caproate,C16H28O2,"['C', 'H', 'O']",252.2089301418354
10032-05-0,"Heptanal, dimethyl acetal",C9H20O2,"['C', 'H', 'O']",160.1463298839234
10032-13-0,"Butanoic acid, 3-methyl-, hexyl ester",C11H22O2,"['C', 'H', 'O']",186.1619799484014
10032-15-2,"Butanoic acid, 2-methyl-, hexyl ester",C11H22O2,"['C', 'H', 'O']",186.1619799484014
100-32-3,Di-4-nitrophenyl sulfide,C12H8N2O4S2,"['C', 'H', 'N', 'O', 'S']",307.99254909389083
1003-29-8,1H-Pyrrole-2-carboxaldehyde,C5H5NO,"['C', 'H', 'N', 'O']",95.0371137851987
1003-30-1,2-ethyltetrahydrofuran,C6H12O,"['C', 'H', 'O']",100.0888150064397
1003-31-2,2-Thiophenecarbonitrile,C5H3NS,"['C', 'H', 'N', 'S']",108.998620275563
1003-38-9,"Furan, tetrahydro-2,5-dimethyl-",C6H12O,"['C', 'H', 'O']",100.0888150064397
10033-99-5,"Cis-1-chloro-1,3-butadiene",C4H5Cl,"['C', 'H', 'Cl']",88.007977843565
10034-09-0,"(E)-1-Methoxy-1,3-butadiene",C5H8O,"['C', 'H', 'O']",84.0575148774837
10034-12-5,cis-1-Methoxy-1-butene,C5H10O,"['C', 'H', 'O']",86.0731649419617
10034-13-6,(E)-1-Methoxy-1-butene,C5H10O,"['C', 'H', 'O']",86.0731649419617
1003-41-4,4H-Thiopyran-4-one,C5H4OS,"['C', 'H', 'O', 'S']",111.9982859229417
10034-85-2,Hydrogen iodide,HI,"['H', 'I']",127.912296971239
1003-49-2,2-methyl-2-ethyltetrahydrofuran,C7H14O,"['C', 'H', 'O']",114.1044650709177
10035-10-6,Hydrogen bromide,HBr,"['H', 'Br']",79.92616264623899
1003-56-1,3-methyl-2(1H)-pyridinone,C6H7NO,"['C', 'H', 'N', 'O']",109.0527638496767
10036-09-6,Bicyclo(3.3.1)nonan-3-one,C9H14O,"['C', 'H', 'O']",138.10446507091768
10036-12-1,Bicyclo[3.3.1]non-3-en-2-one,C9H12O,"['C', 'H', 'O']",136.0888150064397
1003-64-1,"Cyclohexane, ethylidene-",C8H14,"['C', 'H']",110.109550451346
10036-47-2,Tetrafluorohydrazine,F4N2,"['F', 'N']",103.99976065982081
10036-64-3,"Alpha,d-glucopyranoside, 2-acetamido-2-deoxy-,",C8H15NO6,"['C', 'H', 'N', 'O']",221.0899372054472
100-36-7,"1,2-Ethanediamine, N,N-diethyl-",C6H16N2,"['C', 'H', 'N']",116.13134852468801
1003-67-4,"Pyridine, 4-methyl-, 1-oxide",C6H7NO,"['C', 'H', 'N', 'O']",109.0527638496767
1003-68-5,5-methyl-2(1H)-pyridinone,C6H7NO,"['C', 'H', 'N', 'O']",109.0527638496767
1003-73-2,"Pyridine, 3-methyl-, 1-oxide",C6H7NO,"['C', 'H', 'N', 'O']",109.0527638496767
100-37-8,"Ethanol, 2-(diethylamino)-",C6H15NO,"['C', 'H', 'N', 'O']",117.1153641075887
1003-84-5,"1,4,4-Trimethylpiperidine",C8H17N,"['C', 'H', 'N']",127.136099552495
100-38-9,"Ethanethiol, 2-(diethylamino)-",C6H15NS,"['C', 'H', 'N', 'S']",133.092520662431
100-39-0,"Benzene, (bromomethyl)-",C7H7Br,"['C', 'H', 'Br']",169.97311283967298
100391-69-3,"Benzoic acid, 4-nitro, 1-methylbutyl ester",C12H15NO4,"['C', 'H', 'N', 'O']",237.1001079663038
100397-98-6,"Fluoren-9-ol, 2-amino-3-bromo-,",C13H10BrNO,"['C', 'H', 'Br', 'N', 'O']",274.99457656039374
100-40-3,"Cyclohexene, 4-ethenyl-",C8H12,"['C', 'H']",108.093900386868
100-41-4,Ethylbenzene,C8H10,"['C', 'H']",106.07825032239
1004-24-6,"Cyclohexanemethanol, 4-methylene-",C8H14O,"['C', 'H', 'O']",126.1044650709177
100-42-5,Styrene,C8H8,"['C', 'H']",104.062600257912
1004-29-1,"Furan, 2-butyltetrahydro-",C8H16O,"['C', 'H', 'O']",128.1201151353957
100-43-6,"Pyridine, 4-ethenyl-",C7H7N,"['C', 'H', 'N']",105.05784923010499
1004-36-0,"4H-Pyran-4-one, 2,6-dimethyl-",C7H8O2,"['C', 'H', 'O']",124.0524294970554
100436-05-3,"2,3,10,11-Tetrahydrobenzo[b]dipyrido[3,2,1-de:1,2,3-mn]-phenazine-1,12-dione",C22H16N2O2,"['C', 'H', 'N', 'O']",340.1211777638314
1004-39-3,"2-Thiol-4,6-diamino-pyrimidine",C4H6N4S,"['C', 'H', 'N', 'S']",142.031317385576
1004-40-6,"Uracil, 6-amino-2-thio-",C4H5N3OS,"['C', 'H', 'N', 'O', 'S']",143.0153329684767
100444-41-5,p-Decyl-.alpha.-.alpha.-.alpha.-trifluoroacetophenone,C18H25F3O,"['C', 'H', 'F', 'O']",314.1857499137643
100-44-7,Benzyl chloride,C7H7Cl,"['C', 'H', 'Cl']",126.023627908043
10045-65-5,"1H-Imidazole-2-carboxaldehyde, 1-(phenylmethyl)-",C11H10N2O,"['C', 'H', 'N', 'O']",186.07931295082568
100-45-8,4-Cyanocyclohexene,C7H9N,"['C', 'H', 'N']",107.073499294583
1004-66-6,"Benzene, 2-methoxy-1,3-dimethyl-",C9H12O,"['C', 'H', 'O']",136.0888150064397
100-46-9,Benzylamine,C7H9N,"['C', 'H', 'N']",107.073499294583
100-47-0,Benzonitrile,C7H5N,"['C', 'H', 'N']",103.042199165627
100477-72-3,Ketamine,C13H16ClNO,"['C', 'H', 'Cl', 'N', 'O']",237.09204182219767
1004-77-9,"Cyclohexanone, 2-(1-methylethyl)-",C9H16O,"['C', 'H', 'O']",140.1201151353957
100-48-1,4-Pyridinecarbonitrile,C6H4N2,"['C', 'H', 'N']",104.03744813782001
10049-04-4,Chlorine dioxide,ClO2,"['Cl', 'O']",66.9586819215134
100-49-2,Cyclohexanemethanol,C7H14O,"['C', 'H', 'O']",114.1044650709177
10049-60-2,"2-butanamine, hydrochloride",C4H12ClN,"['C', 'H', 'Cl', 'N']",109.06582707367
100-50-5,3-Cyclohexene-1-carboxaldehyde,C7H10O,"['C', 'H', 'O']",110.0731649419617
100508-56-3,"2,4-Dimethoxy-6-(2-fluoro-2,2-dinitroethoxy)-1,3,5-triazine",C7H8FN5O7,"['C', 'H', 'F', 'N', 'O']",293.0407757798131
100508-57-4,"2-Methoxy-4,6-bis(2-fluoro-2,2-dinitroethoxy)-1,3,5-triazine",C8H7F2N7O11,"['C', 'H', 'F', 'N', 'O']",415.0171603974641
10051-06-6,Pentafluoroguanidine,CF5N3,"['C', 'F', 'N']",149.001237826992
